grid_letters,easting_base,northing_base
SV,0,0
SW,100000,0
SX,200000,0
SY,300000,0
SZ,400000,0
TV,500000,0
SQ,0,100000
SR,100000,100000
SS,200000,100000
ST,300000,100000
SU,400000,100000
TQ,500000,100000
SL,0,200000
SM,100000,200000
SN,200000,200000
SO,300000,200000
SP,400000,200000
TL,500000,200000
SF,0,300000
SG,100000,300000
SH,200000,300000
SJ,300000,300000
SK,400000,300000
TF,500000,300000
SA,0,400000
SB,100000,400000
SC,200000,400000
SD,300000,400000
SE,400000,400000
TA,500000,400000
NV,0,500000
NW,100000,500000
NX,200000,500000
NY,300000,500000
NZ,400000,500000
OV,500000,500000
NQ,0,600000
NR,100000,600000
NS,200000,600000
NT,300000,600000
NU,400000,600000
OQ,500000,600000
